Genome,Length (bp),N50,Completeness %,Contamination%,Species representative,MGnify accession
GUT_GENOME222123,2430566,11333,93.15,1.48,GUT_GENOME222123,MGYG-HGUT-03303
GUT_GENOME222296,1057228,2856,66.43,1.57,GUT_GENOME222296,MGYG-HGUT-03304
GUT_GENOME222313,1171637,2229,50.99,0.02,GUT_GENOME222313,MGYG-HGUT-03305
GUT_GENOME222315,2266147,88540,95.86,0.0,GUT_GENOME222315,MGYG-HGUT-03306
GUT_GENOME222400,1729387,104958,96.64,0.34,GUT_GENOME222400,MGYG-HGUT-03307
GUT_GENOME222413,2610589,4155,73.48,1.61,GUT_GENOME222413,MGYG-HGUT-03308
GUT_GENOME222447,1657705,13062,84.0,0.0,GUT_GENOME222447,MGYG-HGUT-03309
GUT_GENOME222507,1965862,145178,93.55,0.81,GUT_GENOME222507,MGYG-HGUT-03310
GUT_GENOME222558,2001721,84698,87.7,0.0,GUT_GENOME222558,MGYG-HGUT-03311
GUT_GENOME222694,4657579,75968,94.7,1.48,GUT_GENOME222694,MGYG-HGUT-03312
GUT_GENOME224740,2159275,37681,89.26,0.0,GUT_GENOME224740,MGYG-HGUT-03313
GUT_GENOME225024,1984209,343606,100.0,0.0,GUT_GENOME225024,MGYG-HGUT-03314
GUT_GENOME225044,1388393,1820,55.73,0.89,GUT_GENOME225044,MGYG-HGUT-03315
GUT_GENOME225144,2411528,1831,56.29,1.12,GUT_GENOME225144,MGYG-HGUT-03316
GUT_GENOME225173,2478253,25556,87.19,0.75,GUT_GENOME225173,MGYG-HGUT-03317
GUT_GENOME225259,2001584,35375,98.75,0.0,GUT_GENOME225259,MGYG-HGUT-03318
GUT_GENOME225768,1809679,2476,66.37,0.67,GUT_GENOME225768,MGYG-HGUT-03319
GUT_GENOME225784,2205758,9194,99.21,0.0,GUT_GENOME225784,MGYG-HGUT-03320
GUT_GENOME225792,816075,3890,81.22,0.0,GUT_GENOME225792,MGYG-HGUT-03321
GUT_GENOME225805,1648873,1786,64.86,2.13,GUT_GENOME225805,MGYG-HGUT-03322
GUT_GENOME225807,2041599,2702,58.61,0.89,GUT_GENOME225807,MGYG-HGUT-03323
GUT_GENOME225812,2171467,3544,88.3,4.17,GUT_GENOME225812,MGYG-HGUT-03324
GUT_GENOME225852,1712109,134693,99.44,0.0,GUT_GENOME225852,MGYG-HGUT-03325
GUT_GENOME225869,2715873,123949,96.82,0.0,GUT_GENOME225869,MGYG-HGUT-03326
GUT_GENOME225915,2549294,37449,97.99,0.0,GUT_GENOME225915,MGYG-HGUT-03327
GUT_GENOME225966,1662291,2971,76.56,0.62,GUT_GENOME225966,MGYG-HGUT-03328
GUT_GENOME226003,1615634,124171,97.11,0.64,GUT_GENOME226003,MGYG-HGUT-03329
GUT_GENOME226020,1776527,179545,99.88,0.37,GUT_GENOME226020,MGYG-HGUT-03330
GUT_GENOME226031,2491816,94367,100.0,0.0,GUT_GENOME226031,MGYG-HGUT-03331
GUT_GENOME226303,2583592,24955,83.67,0.37,GUT_GENOME226303,MGYG-HGUT-03332
GUT_GENOME226406,2290320,35764,90.45,2.25,GUT_GENOME226406,MGYG-HGUT-03333
GUT_GENOME226919,1842627,62097,97.65,0.13,GUT_GENOME226919,MGYG-HGUT-03334
GUT_GENOME226927,3295822,16406,99.68,1.32,GUT_GENOME226927,MGYG-HGUT-03335
GUT_GENOME227151,1366175,2070,63.74,2.25,GUT_GENOME227151,MGYG-HGUT-03336
GUT_GENOME227344,2462692,7530,89.56,0.17,GUT_GENOME227344,MGYG-HGUT-03337
GUT_GENOME227559,3210940,4419,83.45,0.6,GUT_GENOME227559,MGYG-HGUT-03338
GUT_GENOME227574,2245388,30247,93.55,1.61,GUT_GENOME227574,MGYG-HGUT-03339
GUT_GENOME227599,2927834,53768,88.54,0.0,GUT_GENOME227599,MGYG-HGUT-03340
GUT_GENOME227600,1956667,10010,79.72,2.25,GUT_GENOME227600,MGYG-HGUT-03341
GUT_GENOME227824,1933109,64835,89.52,1.61,GUT_GENOME227824,MGYG-HGUT-03342
GUT_GENOME227837,2478402,20708,97.01,0.05,GUT_GENOME227837,MGYG-HGUT-03343
GUT_GENOME228008,2547672,15116,99.91,0.0,GUT_GENOME228008,MGYG-HGUT-03344
GUT_GENOME228036,1605682,5824,63.28,0.0,GUT_GENOME228036,MGYG-HGUT-03345
GUT_GENOME229012,3265104,69849,98.52,0.0,GUT_GENOME229012,MGYG-HGUT-03346
GUT_GENOME229203,2095533,9873,68.52,1.17,GUT_GENOME229203,MGYG-HGUT-03347
GUT_GENOME229392,2475189,12544,95.16,0.63,GUT_GENOME229392,MGYG-HGUT-03348
GUT_GENOME229574,3495834,14821,86.25,2.22,GUT_GENOME229574,MGYG-HGUT-03349
GUT_GENOME229667,1672778,4966,67.43,2.37,GUT_GENOME229667,MGYG-HGUT-03350
GUT_GENOME229830,6569749,22632,87.22,4.64,GUT_GENOME229830,MGYG-HGUT-03351
GUT_GENOME230476,2608523,22515,98.1,0.63,GUT_GENOME230476,MGYG-HGUT-03352
GUT_GENOME230645,2741974,7640,87.57,2.84,GUT_GENOME230645,MGYG-HGUT-03353
GUT_GENOME230891,2652700,18867,85.42,1.88,GUT_GENOME230891,MGYG-HGUT-03354
GUT_GENOME230902,5194070,44088,96.76,3.47,GUT_GENOME230902,MGYG-HGUT-03355
GUT_GENOME230903,1207795,3316,84.72,1.19,GUT_GENOME230903,MGYG-HGUT-03356
GUT_GENOME230915,1593339,40644,98.5,0.75,GUT_GENOME230915,MGYG-HGUT-03357
GUT_GENOME231247,4968008,55892,98.11,0.83,GUT_GENOME231247,MGYG-HGUT-03358
GUT_GENOME231250,5721146,174654,74.14,0.0,GUT_GENOME231250,MGYG-HGUT-03359
GUT_GENOME231257,4794474,235435,98.64,1.25,GUT_GENOME231257,MGYG-HGUT-03360
GUT_GENOME231296,2140862,282944,98.79,0.0,GUT_GENOME231296,MGYG-HGUT-03361
GUT_GENOME231299,3888864,285740,100.0,0.27,GUT_GENOME231299,MGYG-HGUT-03362
GUT_GENOME231300,4177575,51637,97.4,3.23,GUT_GENOME231300,MGYG-HGUT-03363
GUT_GENOME231309,2070322,24745,87.97,1.21,GUT_GENOME231309,MGYG-HGUT-03364
GUT_GENOME231320,4302945,425780,97.66,0.49,GUT_GENOME231320,MGYG-HGUT-03365
GUT_GENOME231391,2790277,36001,97.45,0.0,GUT_GENOME231391,MGYG-HGUT-03366
GUT_GENOME231397,3747359,124010,96.28,2.17,GUT_GENOME231397,MGYG-HGUT-03367
GUT_GENOME231413,1914287,31263,97.56,0.63,GUT_GENOME231413,MGYG-HGUT-03368
GUT_GENOME231418,1844507,116539,95.73,0.0,GUT_GENOME231418,MGYG-HGUT-03369
GUT_GENOME231431,1846494,167778,95.4,0.2,GUT_GENOME231431,MGYG-HGUT-03370
GUT_GENOME231436,3705077,2219,75.03,4.1,GUT_GENOME231436,MGYG-HGUT-03371
GUT_GENOME231453,4983851,126507,95.25,0.82,GUT_GENOME231453,MGYG-HGUT-03372
GUT_GENOME231477,1539557,201968,100.0,0.0,GUT_GENOME231477,MGYG-HGUT-03373
GUT_GENOME231503,2286602,60197,99.66,0.0,GUT_GENOME231503,MGYG-HGUT-03374
GUT_GENOME231532,2788808,99701,99.23,0.53,GUT_GENOME231532,MGYG-HGUT-03375
GUT_GENOME231555,1245505,123240,98.88,0.16,GUT_GENOME231555,MGYG-HGUT-03376
GUT_GENOME231559,5122475,94248,99.3,1.58,GUT_GENOME231559,MGYG-HGUT-03377
GUT_GENOME231599,4918955,78236,98.54,0.45,GUT_GENOME231599,MGYG-HGUT-03378
GUT_GENOME231626,4490212,258076,96.72,0.16,GUT_GENOME231626,MGYG-HGUT-03379
GUT_GENOME231632,2319588,67682,99.34,0.0,GUT_GENOME231632,MGYG-HGUT-03380
GUT_GENOME231661,2661892,15211,96.04,0.11,GUT_GENOME231661,MGYG-HGUT-03381
GUT_GENOME231670,4723531,228922,94.96,0.44,GUT_GENOME231670,MGYG-HGUT-03382
GUT_GENOME231685,3123324,218657,100.0,2.38,GUT_GENOME231685,MGYG-HGUT-03383
GUT_GENOME231710,2932738,2243,73.46,3.57,GUT_GENOME231710,MGYG-HGUT-03384
GUT_GENOME231722,780951,173413,99.05,0.0,GUT_GENOME231722,MGYG-HGUT-03385
GUT_GENOME231730,4846469,208960,100.0,0.12,GUT_GENOME231730,MGYG-HGUT-03386
GUT_GENOME231806,4465621,512420,100.0,0.96,GUT_GENOME231806,MGYG-HGUT-03387
GUT_GENOME231812,2136685,335571,99.25,0.0,GUT_GENOME231812,MGYG-HGUT-03388
GUT_GENOME231814,3878302,2699,71.92,1.79,GUT_GENOME231814,MGYG-HGUT-03389
GUT_GENOME231920,4956281,201429,97.57,0.85,GUT_GENOME231920,MGYG-HGUT-03390
GUT_GENOME231932,2000366,28652,98.37,1.92,GUT_GENOME231932,MGYG-HGUT-03391
GUT_GENOME231966,1810665,14275,88.42,3.17,GUT_GENOME231966,MGYG-HGUT-03392
GUT_GENOME232008,4793768,268720,99.98,0.14,GUT_GENOME232008,MGYG-HGUT-03393
GUT_GENOME232013,1902954,92306,99.64,0.0,GUT_GENOME232013,MGYG-HGUT-03394
GUT_GENOME232032,5080781,112756,99.79,0.51,GUT_GENOME232032,MGYG-HGUT-03395
GUT_GENOME232082,3926186,27643,100.0,3.64,GUT_GENOME232082,MGYG-HGUT-03396
GUT_GENOME232084,1815915,132342,99.28,0.6,GUT_GENOME232084,MGYG-HGUT-03397
GUT_GENOME232145,1121428,55742,91.55,0.18,GUT_GENOME232145,MGYG-HGUT-03398
GUT_GENOME232192,5050953,290907,99.35,0.0,GUT_GENOME232192,MGYG-HGUT-03399
GUT_GENOME232194,4365701,140510,93.7,0.0,GUT_GENOME232194,MGYG-HGUT-03400
GUT_GENOME232218,2394594,293366,98.53,0.1,GUT_GENOME232218,MGYG-HGUT-03401
GUT_GENOME232220,5924245,3783,88.01,3.08,GUT_GENOME232220,MGYG-HGUT-03402
GUT_GENOME232302,4562306,274866,94.83,1.37,GUT_GENOME232302,MGYG-HGUT-03403
GUT_GENOME232313,1333590,2715,73.04,1.68,GUT_GENOME232313,MGYG-HGUT-03404
GUT_GENOME232315,1610057,138029,99.33,0.0,GUT_GENOME232315,MGYG-HGUT-03405
GUT_GENOME232336,1742690,8415,92.47,1.8,GUT_GENOME232336,MGYG-HGUT-03406
GUT_GENOME232348,604572,4138,91.0,2.38,GUT_GENOME232348,MGYG-HGUT-03407
GUT_GENOME232378,1099913,325739,91.01,0.0,GUT_GENOME232378,MGYG-HGUT-03408
GUT_GENOME232404,2672842,21839,99.11,0.0,GUT_GENOME232404,MGYG-HGUT-03409
GUT_GENOME232438,1706385,49009,91.8,1.61,GUT_GENOME232438,MGYG-HGUT-03410
GUT_GENOME232472,1362982,187389,98.88,0.0,GUT_GENOME232472,MGYG-HGUT-03411
GUT_GENOME232724,2381083,65494,92.62,0.0,GUT_GENOME232724,MGYG-HGUT-03412
GUT_GENOME232848,2510096,5755,86.04,2.31,GUT_GENOME232848,MGYG-HGUT-03413
GUT_GENOME232849,1693287,5622,73.21,1.78,GUT_GENOME232849,MGYG-HGUT-03414
GUT_GENOME232851,1684255,6264,75.48,1.71,GUT_GENOME232851,MGYG-HGUT-03415
GUT_GENOME232852,1989769,1857,62.42,1.51,GUT_GENOME232852,MGYG-HGUT-03416
GUT_GENOME232915,3316884,22854,95.43,1.88,GUT_GENOME232915,MGYG-HGUT-03417
GUT_GENOME232929,2258691,177785,100.0,0.81,GUT_GENOME232929,MGYG-HGUT-03418
GUT_GENOME233264,2335712,12550,91.94,1.61,GUT_GENOME233264,MGYG-HGUT-03419
GUT_GENOME233265,2267758,12104,80.91,1.56,GUT_GENOME233265,MGYG-HGUT-03420
GUT_GENOME233266,2989686,9757,81.97,4.24,GUT_GENOME233266,MGYG-HGUT-03421
GUT_GENOME233267,1683805,27858,89.73,1.73,GUT_GENOME233267,MGYG-HGUT-03422
GUT_GENOME233268,2824109,42376,91.13,0.54,GUT_GENOME233268,MGYG-HGUT-03423
GUT_GENOME233269,2699357,23612,87.36,1.32,GUT_GENOME233269,MGYG-HGUT-03424
GUT_GENOME233270,5056923,18608,89.93,1.68,GUT_GENOME233270,MGYG-HGUT-03425
GUT_GENOME233272,1262402,2497,72.59,2.25,GUT_GENOME233272,MGYG-HGUT-03426
GUT_GENOME233273,3377258,31732,86.71,0.95,GUT_GENOME233273,MGYG-HGUT-03427
GUT_GENOME233275,1887881,6616,79.68,3.24,GUT_GENOME233275,MGYG-HGUT-03428
GUT_GENOME233276,1944366,4528,77.86,2.06,GUT_GENOME233276,MGYG-HGUT-03429
GUT_GENOME233277,1567717,13794,92.17,2.35,GUT_GENOME233277,MGYG-HGUT-03430
GUT_GENOME233278,2512610,3164,73.8,2.25,GUT_GENOME233278,MGYG-HGUT-03431
GUT_GENOME233279,2333717,9839,92.54,1.02,GUT_GENOME233279,MGYG-HGUT-03432
GUT_GENOME233280,2173228,44848,96.48,0.38,GUT_GENOME233280,MGYG-HGUT-03433
GUT_GENOME233281,1762272,2291,64.38,1.62,GUT_GENOME233281,MGYG-HGUT-03434
GUT_GENOME233283,2203968,3926,79.55,2.38,GUT_GENOME233283,MGYG-HGUT-03435
GUT_GENOME233284,2378747,7054,97.66,3.02,GUT_GENOME233284,MGYG-HGUT-03436
GUT_GENOME233285,2166830,59682,99.33,0.0,GUT_GENOME233285,MGYG-HGUT-03437
GUT_GENOME233291,1357113,2010,67.89,1.35,GUT_GENOME233291,MGYG-HGUT-03438
GUT_GENOME233517,2176976,13689,98.2,0.3,GUT_GENOME233517,MGYG-HGUT-03439
GUT_GENOME233759,3625053,46601,99.56,0.59,GUT_GENOME233759,MGYG-HGUT-03440
GUT_GENOME234055,1222957,1974,62.93,0.75,GUT_GENOME234055,MGYG-HGUT-03441
GUT_GENOME234088,2188754,14822,92.68,0.76,GUT_GENOME234088,MGYG-HGUT-03442
GUT_GENOME234136,1101788,15671,58.51,0.0,GUT_GENOME234136,MGYG-HGUT-03443
GUT_GENOME234138,1503598,4808,53.76,0.75,GUT_GENOME234138,MGYG-HGUT-03444
GUT_GENOME234139,1789928,20078,78.81,3.76,GUT_GENOME234139,MGYG-HGUT-03445
GUT_GENOME234140,1683558,20072,83.49,2.96,GUT_GENOME234140,MGYG-HGUT-03446
GUT_GENOME234141,1841163,2127,66.49,1.74,GUT_GENOME234141,MGYG-HGUT-03447
GUT_GENOME234144,1065599,21943,62.39,0.66,GUT_GENOME234144,MGYG-HGUT-03448
GUT_GENOME234253,2395522,349184,94.59,0.68,GUT_GENOME234253,MGYG-HGUT-03449
GUT_GENOME234270,1925108,52662,88.48,0.02,GUT_GENOME234270,MGYG-HGUT-03450
GUT_GENOME234279,1832891,5141,86.51,1.79,GUT_GENOME234279,MGYG-HGUT-03451
GUT_GENOME234296,2217592,203067,99.55,0.45,GUT_GENOME234296,MGYG-HGUT-03452
GUT_GENOME234368,825696,3755,58.48,0.89,GUT_GENOME234368,MGYG-HGUT-03453
GUT_GENOME234391,2551473,23737,100.0,0.0,GUT_GENOME234391,MGYG-HGUT-03454
GUT_GENOME234397,1231980,8547,89.46,0.04,GUT_GENOME234397,MGYG-HGUT-03455
GUT_GENOME234508,2491093,33696,93.06,0.02,GUT_GENOME234508,MGYG-HGUT-03456
GUT_GENOME234569,1983561,91278,94.32,0.0,GUT_GENOME234569,MGYG-HGUT-03457
GUT_GENOME234570,2703450,32075,94.04,0.34,GUT_GENOME234570,MGYG-HGUT-03458
GUT_GENOME234608,1247950,46679,93.26,1.12,GUT_GENOME234608,MGYG-HGUT-03459
GUT_GENOME234656,2573579,15280,90.56,0.19,GUT_GENOME234656,MGYG-HGUT-03460
GUT_GENOME234729,2310521,5153,85.22,1.36,GUT_GENOME234729,MGYG-HGUT-03461
GUT_GENOME234747,2286053,103946,94.84,2.42,GUT_GENOME234747,MGYG-HGUT-03462
GUT_GENOME234802,2187524,22990,92.48,0.0,GUT_GENOME234802,MGYG-HGUT-03463
GUT_GENOME234840,1003444,858737,92.7,0.0,GUT_GENOME234840,MGYG-HGUT-03464
GUT_GENOME234915,1993474,234984,92.17,0.0,GUT_GENOME234915,MGYG-HGUT-03465
GUT_GENOME235146,2580548,91070,97.2,0.0,GUT_GENOME235146,MGYG-HGUT-03466
GUT_GENOME235147,1904394,4304,82.55,3.04,GUT_GENOME235147,MGYG-HGUT-03467
GUT_GENOME235148,911428,11293,73.19,0.34,GUT_GENOME235148,MGYG-HGUT-03468
GUT_GENOME235149,1886287,52460,94.57,4.09,GUT_GENOME235149,MGYG-HGUT-03469
GUT_GENOME235150,2121809,4669,83.72,2.67,GUT_GENOME235150,MGYG-HGUT-03470
GUT_GENOME235151,1204509,9445,83.32,1.51,GUT_GENOME235151,MGYG-HGUT-03471
GUT_GENOME235152,2013664,60811,94.47,1.78,GUT_GENOME235152,MGYG-HGUT-03472
GUT_GENOME235153,2233925,43277,90.45,1.01,GUT_GENOME235153,MGYG-HGUT-03473
GUT_GENOME235154,1328498,2870,75.85,4.93,GUT_GENOME235154,MGYG-HGUT-03474
GUT_GENOME235173,2184431,147871,98.6,0.55,GUT_GENOME235173,MGYG-HGUT-03475
GUT_GENOME235214,1713396,81097,97.27,0.0,GUT_GENOME235214,MGYG-HGUT-03476
GUT_GENOME235244,1890782,16839,96.81,0.0,GUT_GENOME235244,MGYG-HGUT-03477
GUT_GENOME235296,1461047,3111,69.34,0.22,GUT_GENOME235296,MGYG-HGUT-03478
GUT_GENOME235365,2365803,48165,93.24,0.47,GUT_GENOME235365,MGYG-HGUT-03479
GUT_GENOME235498,2592239,23904,85.96,4.88,GUT_GENOME235498,MGYG-HGUT-03480
GUT_GENOME235551,1646276,135065,71.57,0.0,GUT_GENOME235551,MGYG-HGUT-03481
GUT_GENOME235747,2265437,179096,98.13,0.47,GUT_GENOME235747,MGYG-HGUT-03482
GUT_GENOME235878,3685575,38739,91.89,0.71,GUT_GENOME235878,MGYG-HGUT-03483
GUT_GENOME235884,2443711,46083,92.26,0.67,GUT_GENOME235884,MGYG-HGUT-03484
GUT_GENOME235888,1302571,15293,93.82,0.56,GUT_GENOME235888,MGYG-HGUT-03485
GUT_GENOME235903,2822689,123184,97.58,2.02,GUT_GENOME235903,MGYG-HGUT-03486
GUT_GENOME235948,2150642,16809,97.65,1.48,GUT_GENOME235948,MGYG-HGUT-03487
GUT_GENOME236014,2291044,141761,97.09,0.0,GUT_GENOME236014,MGYG-HGUT-03488
GUT_GENOME236194,2843857,12518,85.14,0.07,GUT_GENOME236194,MGYG-HGUT-03489
GUT_GENOME236224,2488924,2270,62.64,2.09,GUT_GENOME236224,MGYG-HGUT-03490
GUT_GENOME236226,2438052,13677,92.53,0.0,GUT_GENOME236226,MGYG-HGUT-03491
GUT_GENOME236228,1782337,2934,68.1,2.74,GUT_GENOME236228,MGYG-HGUT-03492
GUT_GENOME236229,3028354,28021,83.77,3.05,GUT_GENOME236229,MGYG-HGUT-03493
GUT_GENOME236230,2318157,6045,86.42,4.36,GUT_GENOME236230,MGYG-HGUT-03494
GUT_GENOME236231,2285322,6523,86.94,4.33,GUT_GENOME236231,MGYG-HGUT-03495
GUT_GENOME236232,2237307,21072,90.94,0.0,GUT_GENOME236232,MGYG-HGUT-03496
GUT_GENOME236233,1691378,9779,74.6,2.96,GUT_GENOME236233,MGYG-HGUT-03497
GUT_GENOME236235,2015725,70423,81.7,0.47,GUT_GENOME236235,MGYG-HGUT-03498
GUT_GENOME236236,1357146,1842,59.56,0.03,GUT_GENOME236236,MGYG-HGUT-03499
GUT_GENOME236237,2005892,83666,89.93,0.67,GUT_GENOME236237,MGYG-HGUT-03500
GUT_GENOME236238,2158154,9308,72.2,2.68,GUT_GENOME236238,MGYG-HGUT-03501
GUT_GENOME236239,2721654,27666,88.33,3.86,GUT_GENOME236239,MGYG-HGUT-03502
GUT_GENOME236319,1644696,227959,92.74,1.61,GUT_GENOME236319,MGYG-HGUT-03503
GUT_GENOME236325,2246614,79307,93.15,0.03,GUT_GENOME236325,MGYG-HGUT-03504
GUT_GENOME236405,2316811,64958,81.97,0.29,GUT_GENOME236405,MGYG-HGUT-03505
GUT_GENOME236438,1361363,2067,54.81,0.19,GUT_GENOME236438,MGYG-HGUT-03506
GUT_GENOME236454,1599809,68289,96.47,0.0,GUT_GENOME236454,MGYG-HGUT-03507
GUT_GENOME236657,1808290,134100,95.97,0.0,GUT_GENOME236657,MGYG-HGUT-03508
GUT_GENOME236667,1280127,3037,73.13,0.79,GUT_GENOME236667,MGYG-HGUT-03509
GUT_GENOME236862,1907667,3605,87.43,4.17,GUT_GENOME236862,MGYG-HGUT-03510
GUT_GENOME236863,2091537,9442,86.56,3.08,GUT_GENOME236863,MGYG-HGUT-03511
GUT_GENOME236864,2777574,36113,94.35,0.81,GUT_GENOME236864,MGYG-HGUT-03512
GUT_GENOME236866,2720584,13426,79.99,2.18,GUT_GENOME236866,MGYG-HGUT-03513
GUT_GENOME236868,2933446,50277,94.44,0.0,GUT_GENOME236868,MGYG-HGUT-03514
GUT_GENOME236869,2052370,17781,61.62,0.37,GUT_GENOME236869,MGYG-HGUT-03515
GUT_GENOME236870,1591883,6894,95.33,2.65,GUT_GENOME236870,MGYG-HGUT-03516
GUT_GENOME236871,2831393,14089,94.71,4.6,GUT_GENOME236871,MGYG-HGUT-03517
GUT_GENOME236872,1396726,66429,81.46,0.72,GUT_GENOME236872,MGYG-HGUT-03518
GUT_GENOME236873,667445,2162,57.72,1.21,GUT_GENOME236873,MGYG-HGUT-03519
GUT_GENOME236874,2768956,19700,83.81,2.14,GUT_GENOME236874,MGYG-HGUT-03520
GUT_GENOME236875,2802496,4600,85.16,3.23,GUT_GENOME236875,MGYG-HGUT-03521
GUT_GENOME236876,870958,2286,75.09,2.3,GUT_GENOME236876,MGYG-HGUT-03522
GUT_GENOME236877,1093650,7246,58.3,0.67,GUT_GENOME236877,MGYG-HGUT-03523
GUT_GENOME236878,1517347,2118,69.42,3.4,GUT_GENOME236878,MGYG-HGUT-03524
GUT_GENOME236879,2213098,74457,94.37,3.02,GUT_GENOME236879,MGYG-HGUT-03525
GUT_GENOME236880,1880479,3058,81.48,1.91,GUT_GENOME236880,MGYG-HGUT-03526
GUT_GENOME236882,2016408,3101,76.37,2.01,GUT_GENOME236882,MGYG-HGUT-03527
GUT_GENOME236883,3662993,14067,84.36,1.38,GUT_GENOME236883,MGYG-HGUT-03528
GUT_GENOME236884,1658319,34555,91.83,2.01,GUT_GENOME236884,MGYG-HGUT-03529
GUT_GENOME236885,2130921,34405,87.62,0.71,GUT_GENOME236885,MGYG-HGUT-03530
GUT_GENOME236887,1722504,4557,93.55,2.7,GUT_GENOME236887,MGYG-HGUT-03531
GUT_GENOME236888,1885895,118390,89.52,0.0,GUT_GENOME236888,MGYG-HGUT-03532
GUT_GENOME236889,2902010,23028,79.06,4.4,GUT_GENOME236889,MGYG-HGUT-03533
GUT_GENOME236890,2560433,38221,97.9,0.0,GUT_GENOME236890,MGYG-HGUT-03534
GUT_GENOME236892,2652504,56120,77.31,0.74,GUT_GENOME236892,MGYG-HGUT-03535
GUT_GENOME236958,1804941,4087,83.73,4.87,GUT_GENOME236958,MGYG-HGUT-03536
GUT_GENOME237015,928849,2014,56.76,1.08,GUT_GENOME237015,MGYG-HGUT-03537
GUT_GENOME237051,1465303,7500,84.86,2.59,GUT_GENOME237051,MGYG-HGUT-03538
GUT_GENOME237052,1698528,256258,94.47,1.44,GUT_GENOME237052,MGYG-HGUT-03539
GUT_GENOME237053,1938484,5012,81.67,3.84,GUT_GENOME237053,MGYG-HGUT-03540
GUT_GENOME237054,1274444,2138,55.57,0.8,GUT_GENOME237054,MGYG-HGUT-03541
GUT_GENOME237055,1966624,52526,94.47,4.71,GUT_GENOME237055,MGYG-HGUT-03542
GUT_GENOME237056,3218671,38923,90.73,4.28,GUT_GENOME237056,MGYG-HGUT-03543
GUT_GENOME237057,1583718,10553,61.33,0.16,GUT_GENOME237057,MGYG-HGUT-03544
GUT_GENOME237058,1455193,4274,71.86,2.91,GUT_GENOME237058,MGYG-HGUT-03545
GUT_GENOME237059,3032937,47151,98.39,2.15,GUT_GENOME237059,MGYG-HGUT-03546
GUT_GENOME237060,1366229,20905,92.28,2.13,GUT_GENOME237060,MGYG-HGUT-03547
GUT_GENOME237061,2291640,25499,87.45,2.49,GUT_GENOME237061,MGYG-HGUT-03548
GUT_GENOME237062,1484614,29969,77.96,0.2,GUT_GENOME237062,MGYG-HGUT-03549
GUT_GENOME237201,3104477,59708,98.39,0.27,GUT_GENOME237201,MGYG-HGUT-03550
GUT_GENOME237253,2116484,102262,87.61,0.85,GUT_GENOME237253,MGYG-HGUT-03551
GUT_GENOME237335,2741496,152842,98.66,0.0,GUT_GENOME237335,MGYG-HGUT-03552
GUT_GENOME237421,2321768,12145,92.99,0.66,GUT_GENOME237421,MGYG-HGUT-03553
GUT_GENOME237422,1983378,15781,92.62,2.57,GUT_GENOME237422,MGYG-HGUT-03554
GUT_GENOME237423,1157710,7043,62.23,0.0,GUT_GENOME237423,MGYG-HGUT-03555
GUT_GENOME237424,2131277,11195,89.68,1.66,GUT_GENOME237424,MGYG-HGUT-03556
GUT_GENOME237425,1241899,2299,59.14,1.31,GUT_GENOME237425,MGYG-HGUT-03557
GUT_GENOME237426,1503066,55481,95.1,0.0,GUT_GENOME237426,MGYG-HGUT-03558
GUT_GENOME237427,1756049,21735,72.15,2.23,GUT_GENOME237427,MGYG-HGUT-03559
GUT_GENOME237428,1363784,17932,75.74,0.84,GUT_GENOME237428,MGYG-HGUT-03560
GUT_GENOME237429,1240017,8707,61.0,0.0,GUT_GENOME237429,MGYG-HGUT-03561
GUT_GENOME237430,1032121,2820,56.17,0.67,GUT_GENOME237430,MGYG-HGUT-03562
GUT_GENOME237431,1678929,26518,87.78,0.48,GUT_GENOME237431,MGYG-HGUT-03563
GUT_GENOME237432,1730489,8043,91.06,1.47,GUT_GENOME237432,MGYG-HGUT-03564
GUT_GENOME237433,1967680,52824,93.55,0.0,GUT_GENOME237433,MGYG-HGUT-03565
GUT_GENOME237434,1986649,73237,86.02,0.0,GUT_GENOME237434,MGYG-HGUT-03566
GUT_GENOME237438,2372143,16290,96.59,4.55,GUT_GENOME237438,MGYG-HGUT-03567
GUT_GENOME237439,1332557,8403,88.79,1.12,GUT_GENOME237439,MGYG-HGUT-03568
GUT_GENOME237440,3076540,27963,93.59,1.05,GUT_GENOME237440,MGYG-HGUT-03569
GUT_GENOME237441,3193382,36532,97.2,1.4,GUT_GENOME237441,MGYG-HGUT-03570
GUT_GENOME237442,1542153,10160,83.31,0.56,GUT_GENOME237442,MGYG-HGUT-03571
GUT_GENOME237443,2050564,32964,70.7,0.19,GUT_GENOME237443,MGYG-HGUT-03572
GUT_GENOME237444,2177308,23671,88.7,4.05,GUT_GENOME237444,MGYG-HGUT-03573
GUT_GENOME237445,3049750,6981,74.79,2.91,GUT_GENOME237445,MGYG-HGUT-03574
GUT_GENOME237446,2346376,14656,94.3,0.78,GUT_GENOME237446,MGYG-HGUT-03575
GUT_GENOME237447,2097868,4158,87.85,2.46,GUT_GENOME237447,MGYG-HGUT-03576
GUT_GENOME237448,1902494,11591,88.67,0.0,GUT_GENOME237448,MGYG-HGUT-03577
GUT_GENOME237449,3478423,4286,69.68,3.38,GUT_GENOME237449,MGYG-HGUT-03578
GUT_GENOME237450,1103913,2213,59.13,0.4,GUT_GENOME237450,MGYG-HGUT-03579
GUT_GENOME237482,902654,57694,91.57,0.0,GUT_GENOME237482,MGYG-HGUT-03580
GUT_GENOME237487,2356172,44465,82.89,3.36,GUT_GENOME237487,MGYG-HGUT-03581
